City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Victoria,HK,76.03,clear sky,22.2855,114.1577,Mini Hotel Central
4,Butaritari,KI,81.68,few clouds,3.0707,172.7902,Isles Sunset Lodge
5,Denpasar,ID,85.71,scattered clouds,-8.65,115.2167,OYO 3156 Hotel Warta 2
8,Tutoia,BR,76.06,light rain,-2.7619,-42.2744,Pousada Guará's
10,Dingle,PH,85.1,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
13,Busselton,AU,75.54,broken clouds,-33.65,115.3333,Observatory Guest House
14,Vaini,TO,80.76,broken clouds,-21.2,-175.2,Keleti Beach Resort
18,Carutapera,BR,75.25,overcast clouds,-1.195,-46.02,Lidera
19,Kahului,US,84.22,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
20,Kapaa,US,80.92,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
22,Cayenne,GF,76.08,heavy intensity rain,4.9333,-52.3333,Hôtel Le Dronmi
23,Rikitea,PF,80.06,scattered clouds,-23.1203,-134.9692,People ThankYou
26,Caravelas,BR,76.77,clear sky,-17.7125,-39.2481,Pousada dos Navegantes
28,Hilo,US,82.13,broken clouds,19.7297,-155.09,Hilo Hawaiian Hotel
29,Avarua,CK,84.25,few clouds,-21.2078,-159.775,Paradise Inn
36,East London,ZA,77.99,clear sky,-33.0153,27.9116,Tu Casa
42,Geraldton,AU,75.61,scattered clouds,-28.7667,114.6,Broadwater Mariner Resort
43,Lorengau,PG,85.42,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
44,Mitsamiouli,KM,80.15,overcast clouds,-11.3847,43.2844,Foyer ADM
50,Touros,BR,79.48,light rain,-5.1989,-35.4608,INN NEW HORIZON
52,Faanui,PF,81.84,overcast clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
54,Nisia Floresta,BR,80.98,overcast clouds,-6.0911,-35.2086,Rancho Crepusculo
63,Honiara,SB,84.34,overcast clouds,-9.4333,159.95,Heritage Park Hotel
65,Puerto Ayora,EC,76.55,few clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
68,Alice Springs,AU,87.35,clear sky,-23.7,133.8833,Desert Palms Alice Springs
69,Esmeralda,CU,75.7,clear sky,21.8525,-78.1169,Centro de Pioneros Exploradores
70,Berbera,SO,75.27,overcast clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
75,Kavaratti,IN,82.36,clear sky,10.5669,72.642,Hotels in Lakshadweep Islands
82,Isangel,VU,83.12,scattered clouds,-19.55,169.2667,Tanna Lodge
83,Carnarvon,AU,82.47,clear sky,-24.8667,113.6333,Hospitality Carnarvon
84,Itamaraca,BR,82.45,overcast clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
85,Port Blair,IN,82.35,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
87,Port Alfred,ZA,75.45,scattered clouds,-33.5906,26.891,The Halyards Hotel
89,Tabou,CI,79.0,overcast clouds,4.423,-7.3528,hotêl doufoulougou
97,Bambous Virieux,MU,79.21,light intensity shower rain,-20.3428,57.7575,Casa Tia Villa
100,Contai,IN,76.03,few clouds,21.7786,87.7536,PATHFINDER
101,Omboue,GA,75.6,light rain,-1.5746,9.2618,Hotel Olako
103,Soyo,AO,79.32,light rain,-6.1349,12.3689,Hotel Mpampa
108,Saint-Georges,GD,77.41,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
109,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
124,Hithadhoo,MV,82.99,few clouds,-0.6,73.0833,Scoop Guest House
133,Kulhudhuffushi,MV,82.18,clear sky,6.6221,73.07,Haajy Guest House 1
134,Bowen,AU,83.28,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
138,Kyaikkami,MM,84.13,overcast clouds,16.08,97.5675,St. joseph catholic church
139,Esperance,AU,78.64,scattered clouds,-33.8667,121.9,Hospitality Esperance
148,Markala,ML,79.03,broken clouds,13.7021,-6.0659,Hôtel Igor
151,Leopold,AU,83.05,clear sky,-38.1833,144.4667,Avila Vista
161,Timbiqui,CO,76.32,overcast clouds,2.7717,-77.6654,hotel diana
165,Cockburn Town,TC,76.96,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
167,San Policarpo,PH,81.5,few clouds,12.1791,125.5072,Agapita M. Nicart
168,Hatillo,PR,76.08,overcast clouds,18.4863,-66.8254,El Buen Hotel
170,Tambilil,PH,85.28,broken clouds,5.9622,124.6697,Wilfredo Sotto Home
176,Liku,ID,75.38,moderate rain,-0.7275,119.8922,Wahyu
177,Saint-Philippe,RE,76.59,moderate rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
190,Guayaquil,EC,76.96,light rain,-2.1667,-79.9,HMHotel
191,Arraial Do Cabo,BR,77.34,overcast clouds,-22.9661,-42.0278,Pousada Porto Praia
205,The Valley,AI,78.66,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
207,Koungou,YT,80.31,clear sky,-12.7336,45.2042,Villa Netibor
209,Sechura,PE,76.14,overcast clouds,-5.5569,-80.8222,Hospedaje Costa Bella
210,Boyolangu,ID,82.27,overcast clouds,-8.1181,111.8935,Yos ega cv
215,Axim,GH,79.57,overcast clouds,4.8699,-2.2405,Axim Beach Resort And Spa
220,Kavieng,PG,85.12,broken clouds,-2.5744,150.7967,Nusa Island Retreat
229,Itarema,BR,76.59,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
231,Dwarka,IN,76.39,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
232,Puerto Ayacucho,VE,82.76,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
236,Souillac,MU,79.18,light intensity shower rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
248,Contamana,PE,75.49,moderate rain,-7.3333,-75.0167,Shiringal Touristic Park
257,Padang,ID,77.05,overcast clouds,-0.9492,100.3543,Mercure Padang
258,Puerto Escondido,MX,79.63,scattered clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
259,Port Lincoln,AU,80.98,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
265,Bengkulu,ID,78.66,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
268,Codrington,AU,77.7,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
272,Luwuk,ID,85.78,broken clouds,-0.9516,122.7875,Hotel Santika Luwuk
273,Mahebourg,MU,79.25,light intensity shower rain,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
