City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Mataura,NZ,-46.1927,168.8643,65.48,39,0,2.55,clear sky
1,Sao Felix Do Xingu,BR,-6.6447,-51.995,71.65,97,82,1.21,broken clouds
2,Brae,GB,60.3964,-1.353,44.69,87,88,20.78,overcast clouds
3,Victoria,HK,22.2855,114.1577,76.03,81,2,11.01,clear sky
4,Butaritari,KI,3.0707,172.7902,81.68,77,11,20.47,few clouds
5,Denpasar,ID,-8.65,115.2167,85.71,84,40,4.61,scattered clouds
6,Nikolskoye,RU,59.7035,30.7861,30.78,98,100,3.6,overcast clouds
7,Belen De Umbria,CO,5.2009,-75.8687,66.85,96,90,1.79,overcast clouds
8,Tutoia,BR,-2.7619,-42.2744,76.06,87,44,3.44,light rain
9,Saskylakh,RU,71.9167,114.0833,-17.46,97,92,2.66,overcast clouds
10,Dingle,PH,10.9995,122.6711,85.1,70,95,6.15,overcast clouds
11,Stavern,NO,59.0,10.0333,32.31,90,100,6.67,overcast clouds
12,Ust-Nera,RU,64.5667,143.2,5.65,84,98,2.19,overcast clouds
13,Busselton,AU,-33.65,115.3333,75.54,60,54,6.2,broken clouds
14,Vaini,TO,-21.2,-175.2,80.76,89,75,9.22,broken clouds
15,Ushuaia,AR,-54.8,-68.3,49.66,53,75,11.5,broken clouds
16,New Norfolk,AU,-42.7826,147.0587,73.89,33,8,3.0,clear sky
17,Upernavik,GL,72.7868,-56.1549,-18.33,100,95,8.25,overcast clouds
18,Carutapera,BR,-1.195,-46.02,75.25,91,100,4.05,overcast clouds
19,Kahului,US,20.8947,-156.47,84.22,55,40,23.02,scattered clouds
20,Kapaa,US,22.0752,-159.319,80.92,66,0,11.5,clear sky
21,Santa Fe,AR,-31.6333,-60.7,71.01,64,22,1.99,light rain
22,Cayenne,GF,4.9333,-52.3333,76.08,1,75,5.99,heavy intensity rain
23,Rikitea,PF,-23.1203,-134.9692,80.06,71,39,13.85,scattered clouds
24,Tuktoyaktuk,CA,69.4541,-133.0374,-14.8,76,40,14.97,scattered clouds
25,Jamestown,US,42.097,-79.2353,17.19,52,75,21.85,broken clouds
26,Caravelas,BR,-17.7125,-39.2481,76.77,87,7,5.5,clear sky
27,Fortuna,US,40.5982,-124.1573,53.94,78,100,18.41,overcast clouds
28,Hilo,US,19.7297,-155.09,82.13,65,75,14.97,broken clouds
29,Avarua,CK,-21.2078,-159.775,84.25,74,20,8.05,few clouds
30,Tecpan,GT,14.7623,-90.9947,51.31,88,1,5.41,clear sky
31,Yellowknife,CA,62.456,-114.3525,1.92,80,75,6.91,light snow
32,Albany,US,42.6001,-73.9662,21.22,64,100,8.99,overcast clouds
33,Bauchi,NG,10.5,10.0,70.65,24,11,4.94,few clouds
34,Hamilton,US,39.1834,-84.5333,24.24,54,0,11.5,clear sky
35,Nantucket,US,41.2835,-70.0995,32.05,93,100,30.87,light snow
36,East London,ZA,-33.0153,27.9116,77.99,70,8,10.11,clear sky
37,Iqaluit,CA,63.7506,-68.5145,-24.07,76,20,0.0,few clouds
38,Clyde River,CA,70.4692,-68.5914,-21.77,69,40,4.61,scattered clouds
39,Satipo,PE,-11.2522,-74.6386,69.46,99,100,1.86,moderate rain
40,Katsuura,JP,35.1333,140.3,61.95,58,100,8.99,overcast clouds
41,Sorland,NO,67.667,12.6934,39.88,71,100,12.91,overcast clouds
42,Geraldton,AU,-28.7667,114.6,75.61,64,41,4.61,scattered clouds
43,Lorengau,PG,-2.0226,147.2712,85.42,68,100,6.85,overcast clouds
44,Mitsamiouli,KM,-11.3847,43.2844,80.15,73,100,2.64,overcast clouds
45,San Rafael,AR,-34.6177,-68.3301,71.31,35,1,4.34,clear sky
46,Dikson,RU,73.5069,80.5464,-10.61,94,100,19.15,overcast clouds
47,Yar-Sale,RU,66.8333,70.8333,8.38,96,100,10.29,overcast clouds
48,Mar Del Plata,AR,-38.0023,-57.5575,64.09,81,0,4.61,clear sky
49,Malanje,AO,-9.5402,16.341,63.01,99,99,3.98,overcast clouds
50,Touros,BR,-5.1989,-35.4608,79.48,77,94,7.61,light rain
51,Punta Arenas,CL,-53.15,-70.9167,48.31,61,100,12.66,light rain
52,Faanui,PF,-16.4833,-151.75,81.84,70,100,10.16,overcast clouds
53,Rosetta,EG,31.4044,30.4164,49.42,66,96,5.84,overcast clouds
54,Nisia Floresta,BR,-6.0911,-35.2086,80.98,88,99,5.32,overcast clouds
55,Kurikka,FI,62.6167,22.4167,27.86,83,100,5.73,overcast clouds
56,Hasaki,JP,35.7333,140.8333,59.29,72,100,8.32,overcast clouds
57,Bethel,US,41.3712,-73.414,25.16,69,100,13.8,overcast clouds
58,Srednekolymsk,RU,67.45,153.6833,-0.51,94,100,8.34,light snow
59,Boma,GH,7.0805,-2.1697,73.36,94,89,3.58,overcast clouds
60,Kozulka,UA,50.0351,23.797,29.26,56,96,4.34,overcast clouds
61,Camacha,PT,33.0833,-16.3333,58.42,88,40,13.8,scattered clouds
62,Garden City,US,42.3256,-83.331,17.89,59,40,20.71,scattered clouds
63,Honiara,SB,-9.4333,159.95,84.34,74,98,4.61,overcast clouds
64,Den Helder,NL,52.9599,4.7593,51.03,70,100,14.0,overcast clouds
65,Puerto Ayora,EC,-0.7393,-90.3518,76.55,100,15,1.48,few clouds
66,Provideniya,RU,64.3833,-173.3,20.28,62,0,9.69,clear sky
67,Rypefjord,NO,70.6333,23.6667,41.47,75,0,8.05,clear sky
68,Alice Springs,AU,-23.7,133.8833,87.35,13,5,13.8,clear sky
69,Esmeralda,CU,21.8525,-78.1169,75.7,80,6,5.57,clear sky
70,Berbera,SO,10.4396,45.0143,75.27,79,92,3.18,overcast clouds
71,Arrecife,ES,28.963,-13.5477,62.58,72,20,6.91,few clouds
72,Coihaique,CL,-45.5752,-72.0662,57.15,67,0,4.61,clear sky
73,Bredasdorp,ZA,-34.5322,20.0403,61.92,77,1,3.44,clear sky
74,Klaksvik,FO,62.2266,-6.589,41.92,86,84,15.17,broken clouds
75,Kavaratti,IN,10.5669,72.642,82.36,73,2,6.53,clear sky
76,Qaanaaq,GL,77.484,-69.3632,-15.29,70,9,5.06,clear sky
77,Wattegama,LK,6.7989,81.4808,76.6,87,95,4.74,overcast clouds
78,Vila Do Maio,CV,15.1333,-23.2167,74.19,74,1,17.9,clear sky
79,Kaitangata,NZ,-46.2817,169.8464,63.3,58,0,8.37,clear sky
80,Sept-Iles,CA,50.2001,-66.3821,18.03,91,100,19.57,snow
81,Lagoa,PT,39.05,-27.9833,56.95,60,6,20.31,clear sky
82,Isangel,VU,-19.55,169.2667,83.12,74,49,0.22,scattered clouds
83,Carnarvon,AU,-24.8667,113.6333,82.47,44,0,17.27,clear sky
84,Itamaraca,BR,-7.7478,-34.8256,82.45,79,93,7.72,overcast clouds
85,Port Blair,IN,11.6667,92.75,82.35,67,27,4.36,scattered clouds
86,Chokurdakh,RU,70.6333,147.9167,-8.93,92,100,4.32,overcast clouds
87,Port Alfred,ZA,-33.5906,26.891,75.45,76,48,8.68,scattered clouds
88,Aykino,RU,62.2248,49.9922,22.86,94,99,6.96,overcast clouds
89,Tabou,CI,4.423,-7.3528,79.0,87,100,5.01,overcast clouds
